13:05:12 10.02.2013|37.44.106.227|pics.php|||Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; BTRS124907; InfoPath.1; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET4.0C)| - 
13:03:17 10.02.2013|178.154.206.250|standings.php|&s=35||Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)| - 
13:01:45 10.02.2013|178.154.206.250|data/web.html|||Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)| - 
12:57:06 10.02.2013|78.98.66.249|stats.php|&s=34&pos=all&type=po&team=all&sort=svs_perc&page=1&active=all||Mozilla/5.0 (Windows NT 5.1; rv:18.0) Gecko/20100101 Firefox/18.0|lak - 
12:56:51 10.02.2013|78.98.66.249|standings.php|&s=35||Mozilla/5.0 (Windows NT 5.1; rv:18.0) Gecko/20100101 Firefox/18.0|lak - 
12:56:45 10.02.2013|78.98.66.249||||Mozilla/5.0 (Windows NT 5.1; rv:18.0) Gecko/20100101 Firefox/18.0|lak - 
12:43:19 10.02.2013|66.249.75.3|stats.php|&s=18&pos=all&type=reg&team=sjs&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)|nyi - 
12:36:13 10.02.2013|218.93.127.121|reg.php|||Mozilla/5.0 (Windows; U; Windows NT 5.1; ru; rv:1.9.0.19) Gecko/2010031422 Firefox/3.0.19 YB/3.5.1 (.NET CLR 3.5.30729)| - 
12:36:11 10.02.2013|218.93.127.121|magazine.php|&id_magazine=15||Mozilla/5.0 (Windows; U; Windows NT 5.1; ru; rv:1.9.0.19) Gecko/2010031422 Firefox/3.0.19 YB/3.5.1 (.NET CLR 3.5.30729)| - 
12:32:05 10.02.2013|178.154.206.250|qualification.php|||Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)| - 
12:25:50 10.02.2013|66.249.78.175|manager_stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
12:22:18 10.02.2013|66.249.78.175|player_stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
12:12:36 10.02.2013|66.249.78.175|player_stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
12:02:08 10.02.2013|66.249.78.175|player_stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
12:01:01 10.02.2013|157.55.32.61|player_stats.php|&pos=points&name=Tom---- Grambli--ka&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
11:55:08 10.02.2013|178.154.206.250|rules.php|||Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)| - 
11:49:29 10.02.2013|66.249.78.175|player_stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
11:35:59 10.02.2013|188.167.108.110|standings.php|&s=35||Mozilla/5.0 (PLAYSTATION 3 4.30) AppleWebKit/531.22.8 (KHTML, like Gecko)| - 
11:35:52 10.02.2013|188.167.108.110||||Mozilla/5.0 (PLAYSTATION 3 4.30) AppleWebKit/531.22.8 (KHTML, like Gecko)| - 
11:19:48 10.02.2013|178.154.206.250|awards_season.php|&s=35||Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)| - 
10:48:11 10.02.2013|66.249.75.175|player_stats.php|&pos=goalies&name=Marian Figliar&id_player=12652532&s=35||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
10:18:31 10.02.2013|178.154.206.250|magazine.php|&id_magazine=54||Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)| - 
10:15:10 10.02.2013|66.249.75.175|stats.php|&s=23&pos=points&type=reg&team=van&sort=pim&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
09:52:23 10.02.2013|80.250.251.252|standings.php|&s=35||Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0| - 
09:52:01 10.02.2013|80.250.251.252||||Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0| - 
09:36:22 10.02.2013|178.154.206.250|magazine.php|&id_page=1||Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)| - 
09:15:54 10.02.2013|46.39.176.102|stats.php|&s=34&pos=all&type=po&team=all&sort=svs_perc&page=1&active=all||Opera/9.80 (Windows NT 6.1; WOW64; U; en) Presto/2.10.289 Version/12.02|bos - 
09:15:24 10.02.2013|46.39.176.102|standings.php|&s=35||Opera/9.80 (Windows NT 6.1; WOW64; U; en) Presto/2.10.289 Version/12.02|bos - 
09:15:18 10.02.2013|46.39.176.102||||Opera/9.80 (Windows NT 6.1; WOW64; U; en) Presto/2.10.289 Version/12.02|bos - 
09:03:10 10.02.2013|91.227.224.1|schedule.php|&s=35&type=reg&team=all||Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17|njd - 
09:03:03 10.02.2013|91.227.224.1|stats.php|&s=34&pos=all&type=po&team=all&sort=svs_perc&page=1&active=all||Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17|njd - 
09:02:58 10.02.2013|91.227.224.1|standings.php|&s=35||Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17|njd - 
08:37:49 10.02.2013|178.154.206.250|teams_compare.php|&team1=x&team2=y||Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)| - 
08:35:53 10.02.2013|91.227.224.1||||Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17|njd - 
08:31:35 10.02.2013|188.120.2.91|schedule.php|&s=35&type=reg&team=all||Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.14|chi - 
08:31:21 10.02.2013|188.120.2.91|standings.php|&s=35||Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.14|chi - 
08:31:17 10.02.2013|188.120.2.91||||Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.14|chi - 
08:13:46 10.02.2013|66.249.78.175|player_stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
08:06:40 10.02.2013|66.249.78.175|player_stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
08:01:15 10.02.2013|66.249.78.175|player_stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
07:59:22 10.02.2013|66.249.78.3|player_stats.php|&pos=points&name=Michal Fajt--k&id_player=&s=alltime||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
07:59:21 10.02.2013|66.249.75.175|stats.php|&s=35&pos=all&type=reg&team=bos&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
07:59:17 10.02.2013|66.249.78.175|player_stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
07:59:16 10.02.2013|66.249.78.175|player_stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
07:59:16 10.02.2013|66.249.78.175|player_stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
07:59:10 10.02.2013|66.249.75.175|player_stats.php|&pos=goalies&name=Marian Figliar&id_player=12652532&s=alltime||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
07:59:08 10.02.2013|66.249.75.175|stats.php|&s=25&pos=points&type=reg&team=det&sort=shg&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
07:57:44 10.02.2013|66.249.75.175|data/web.html|||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
07:57:41 10.02.2013|66.249.78.175|player_stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
07:57:41 10.02.2013|66.249.78.175|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
07:55:58 10.02.2013|213.181.130.9||||Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.57 Safari/537.17|nyi - JaRomE121
07:55:51 10.02.2013|66.249.78.3|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
07:55:49 10.02.2013|66.249.78.175|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
07:55:41 10.02.2013|66.249.75.175|stats.php|&s=06&pos=all&type=po&team=min&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
07:55:24 10.02.2013|66.249.78.175|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
07:55:22 10.02.2013|66.249.78.175|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
07:55:14 10.02.2013|85.135.216.86|stats.php|&s=34&pos=all&type=reg&team=all&sort=svs_perc&page=1&active=all||Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.57 Safari/537.17| - 
07:54:55 10.02.2013|85.135.216.86|stats.php|&s=34&pos=all&type=po&team=all&sort=svs_perc&page=1&active=all||Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.57 Safari/537.17| - 
07:54:34 10.02.2013|85.135.216.86|login.php|||Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.57 Safari/537.17| - martin polo
07:53:52 10.02.2013|85.135.216.86|ballot.php|||Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.57 Safari/537.17| - all
07:53:31 10.02.2013|85.135.216.86|awards.php|&trophy=conn||Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.57 Safari/537.17| - 
07:53:24 10.02.2013|85.135.216.86|awards.php|&trophy=stanleycup||Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.57 Safari/537.17| - 
07:52:55 10.02.2013|85.135.216.86|player_stats.php|&pos=points&name=Holger Pawlowski&id_player=27111996&s=alltime||Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.57 Safari/537.17| - 
07:52:17 10.02.2013|85.135.216.86|stats.php|&s=34&pos=all&type=reg&team=phx&sort=svs_perc&page=&active=all||Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.57 Safari/537.17| - 
07:52:00 10.02.2013|85.135.216.86|stats.php|&s=33&pos=all&type=reg&team=phx&sort=svs_perc&page=&active=all||Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.57 Safari/537.17| - 
07:51:43 10.02.2013|85.135.216.86|stats.php|&s=allstats&pos=all&type=reg&team=phx&sort=svs_perc&page=&active=all||Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.57 Safari/537.17| - 
07:51:01 10.02.2013|66.249.75.3|player_stats.php|&pos=points&name=Mari--n Tu--an&id_player=32997580&s=alltime||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
07:50:33 10.02.2013|85.135.216.86|teams.php|&team=phx&detail=||Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.57 Safari/537.17| - 
07:49:55 10.02.2013|85.135.216.86|teams_stats.php|&s=34&sort1=none&sort2=none||Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.57 Safari/537.17| - 
07:49:40 10.02.2013|85.135.216.86|stats.php|&s=34&pos=all&type=po&team=all&sort=svs_perc&page=1&active=all||Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.57 Safari/537.17| - 
