19:56:56 11.02.2013|157.55.32.61|stats.php|&s=03&pos=points&type=reg&team=min&sort=plus&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:56:26 11.02.2013|157.55.32.61|stats.php|&s=03&pos=points&type=reg&team=car&sort=shg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:55:56 11.02.2013|157.55.32.190|stats.php|&s=26&pos=points&type=reg&team=fla&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:55:28 11.02.2013|157.55.32.61|stats.php|&s=03&pos=points&type=reg&team=bos&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:54:55 11.02.2013|157.55.32.190|stats.php|&s=13&pos=points&type=reg&team=fla&sort=goals&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:54:28 11.02.2013|157.55.32.58|stats.php|&s=04&pos=goalies&type=po&team=bos&sort=svs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:53:55 11.02.2013|157.55.32.190|stats.php|&s=25&pos=points&type=reg&team=wpg&sort=ppg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:53:46 11.02.2013|66.249.78.215|player_stats.php|&pos=points&name=Jan Pol----ek&id_player=23055838&s=35||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:53:26 11.02.2013|157.55.32.190|stats.php|&s=25&pos=points&type=reg&team=nas&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:53:09 11.02.2013|66.249.78.193|player_stats.php|&pos=points&name=J--n Bruncl--k&id_player=29043423&s=28||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:53:03 11.02.2013|66.249.78.194|player_stats.php|&pos=points&name=Erik Sisitka&id_player=29527737&s=30||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:53:01 11.02.2013|66.249.78.208|player_stats.php|&pos=points&name=Fabien Antoine&id_player=28117831&s=30||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:52:56 11.02.2013|157.55.32.58|stats.php|&s=03&pos=points&type=reg&team=njd&sort=ppg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:52:27 11.02.2013|157.55.32.58|stats.php|&s=03&pos=points&type=reg&team=njd&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:51:56 11.02.2013|157.55.32.58|stats.php|&s=03&pos=points&type=reg&team=nas&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:51:26 11.02.2013|157.55.32.190|stats.php|&s=25&pos=points&type=reg&team=nas&sort=goals&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:50:55 11.02.2013|157.55.32.190|stats.php|&s=13&pos=defs&type=reg&team=car&sort=plus&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:50:32 11.02.2013|66.249.78.211|player_stats.php|&pos=points&name=Luk---- Mal--&id_player=29178128&s=alltime||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:50:25 11.02.2013|157.55.32.190|stats.php|&s=13&pos=defs&type=reg&team=car&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:50:21 11.02.2013|66.249.78.17|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:49:57 11.02.2013|157.55.32.190|player_stats.php|&pos=points&name=Anton Zhankevicz&id_player=11228066&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:49:39 11.02.2013|66.249.78.195|player_stats.php|&pos=points&name=Patrick Zentriegen&id_player=14045151&s=30||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:49:27 11.02.2013|157.55.32.61|stats.php|&s=03&pos=points&type=reg&team=bos&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:49:21 11.02.2013|66.249.78.178|teams.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:49:17 11.02.2013|66.249.78.14|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:49:16 11.02.2013|66.249.75.188|player_stats.php|&pos=points&name=Branislav Trabal--k&id_player=14634290&s=27||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:48:57 11.02.2013|157.55.32.190|player_stats.php|&pos=points&name=Ante Jurov&id_player=16057123&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:48:51 11.02.2013|66.249.75.190|player_stats.php|&pos=goalies&name=Erhard Picho--sk--&id_player=17853337&s=27||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:48:48 11.02.2013|66.249.75.212|stats.php|&s=10&pos=defs&type=reg&team=wpg&sort=gms&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:48:43 11.02.2013|66.249.75.210|player_stats.php|&pos=points&name=Jakub Cimrman&id_player=27544520&s=30||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:48:26 11.02.2013|157.55.32.190|player_stats.php|&pos=points&name=Andris Asaris&id_player=22263678&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:47:56 11.02.2013|157.55.32.190|player_stats.php|&pos=points&name=Aljo--a Rop&id_player=12996361&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:47:26 11.02.2013|157.55.32.190|player_stats.php|&pos=points&name=Alessandro Lobo&id_player=28499985&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:46:55 11.02.2013|157.55.32.190|player_stats.php|&pos=points&name=Aleksi Kuivas&id_player=27368825&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:46:28 11.02.2013|157.55.32.190|player_stats.php|&pos=points&name=Ale-- Mi--ka&id_player=27592623&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:45:57 11.02.2013|157.55.32.190|player_stats.php|&pos=points&name=Albin Wolte&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:45:25 11.02.2013|157.55.32.190|player_stats.php|&pos=points&name=Albert Martinez&id_player=24784668&s=34||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:44:56 11.02.2013|66.249.78.207|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:44:55 11.02.2013|157.55.32.190|player_stats.php|&pos=points&name=Albert Degr&id_player=16836326&s=34||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:44:29 11.02.2013|157.55.32.190|player_stats.php|&pos=points&name=Alb--n --ajka&id_player=31664058&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:43:57 11.02.2013|157.55.32.190|stats.php|&s=04&pos=points&type=po&team=cgy&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:43:27 11.02.2013|157.55.32.190|stats.php|&s=04&pos=goalies&type=po&team=cgy&sort=shotout&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:42:56 11.02.2013|157.55.32.190|stats.php|&s=13&pos=points&type=reg&team=cbj&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:42:26 11.02.2013|157.55.32.190|stats.php|&s=34&pos=goalies&type=reg&team=cbj&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:41:55 11.02.2013|157.55.32.190|stats.php|&s=04&pos=goalies&type=po&team=cbj&sort=shotout&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:41:54 11.02.2013|66.249.78.218|player_stats.php|&pos=points&name=Jan B--ezina&id_player=11824605&s=alltime||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:41:25 11.02.2013|157.55.32.190|stats.php|&s=03&pos=points&type=reg&team=cbj&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:40:55 11.02.2013|157.55.32.190|stats.php|&s=11&pos=goalies&type=reg&team=car&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:40:26 11.02.2013|157.55.32.190|stats.php|&s=20&pos=points&type=po&team=car&sort=asists&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:39:55 11.02.2013|157.55.32.190|stats.php|&s=19&pos=points&type=po&team=car&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:39:26 11.02.2013|157.55.32.190|stats.php|&s=17&pos=points&type=po&team=car&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:38:56 11.02.2013|157.55.32.190|stats.php|&s=17&pos=defs&type=reg&team=car&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
