22:38:34 11.02.2013|157.55.33.47|stats.php|&s=34&pos=points&type=po&team=edm&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:38:06 11.02.2013|157.55.33.47|stats.php|&s=34&pos=goalies&type=reg&team=tbl&sort=mins&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:37:34 11.02.2013|157.55.33.47|stats.php|&s=34&pos=goalies&type=reg&team=nyi&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:37:29 11.02.2013|66.249.78.208|player_stats.php|&pos=points&name=Samo Lahajnar&id_player=30094967&s=30||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
22:37:07 11.02.2013|157.55.33.47|stats.php|&s=34&pos=goalies&type=reg&team=nyi&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:36:35 11.02.2013|157.55.33.47|stats.php|&s=34&pos=goalies&type=reg&team=nyi&sort=mins&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:36:04 11.02.2013|65.55.24.233|stats.php|&s=34&pos=defs&type=reg&team=tbl&sort=asists&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:35:36 11.02.2013|65.55.24.233|stats.php|&s=34&pos=defs&type=reg&team=stl&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:35:04 11.02.2013|157.55.32.189|stats.php|&s=34&pos=defs&type=reg&team=tbl&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:34:34 11.02.2013|157.55.32.189|stats.php|&s=34&pos=defs&type=reg&team=nyi&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:34:07 11.02.2013|157.55.32.189|stats.php|&s=34&pos=defs&type=reg&team=dal&sort=pim&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:33:35 11.02.2013|157.55.32.189|player_stats.php|&pos=points&name=Mike Green&id_player=27555669&s=34||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:33:05 11.02.2013|157.55.32.189|player_stats.php|&pos=points&name=Maur--cius Kachman&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:32:36 11.02.2013|157.55.32.189|player_stats.php|&pos=points&name=Matias Savilaakso&id_player=24985975&s=34||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:32:04 11.02.2013|65.55.24.233|stats.php|&s=34&pos=defs&type=reg&team=nyi&sort=ppg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:31:34 11.02.2013|65.55.24.233|stats.php|&s=34&pos=defs&type=reg&team=njd&sort=ppg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:31:06 11.02.2013|65.55.24.233|stats.php|&s=34&pos=defs&type=reg&team=njd&sort=pim&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:30:34 11.02.2013|65.55.24.233|stats.php|&s=34&pos=defs&type=reg&team=dal&sort=ppg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:30:07 11.02.2013|65.55.24.233|player_stats.php|&pos=points&name=Mike Green&id_player=27555669&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:29:35 11.02.2013|157.55.33.47|stats.php|&s=34&pos=goalies&type=reg&team=njd&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:29:03 11.02.2013|157.55.33.47|stats.php|&s=34&pos=goalies&type=reg&team=dal&sort=svs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:28:35 11.02.2013|157.55.33.47|stats.php|&s=34&pos=goalies&type=reg&team=dal&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:28:05 11.02.2013|157.55.33.47|stats.php|&s=34&pos=goalies&type=po&team=edm&sort=shotout&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:27:37 11.02.2013|65.55.24.233|player_stats.php|&pos=points&name=Michal Huba--&id_player=28335362&s=34||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:27:07 11.02.2013|65.55.24.233|player_stats.php|&pos=points&name=Matias Savilaakso&id_player=24985975&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:26:35 11.02.2013|65.55.24.233|player_stats.php|&pos=points&name=Matej Mur--r&id_player=29567618&s=34||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:26:07 11.02.2013|65.55.24.233|player_stats.php|&pos=points&name=Matej Ajster&id_player=26334293&s=34||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:25:34 11.02.2013|65.55.24.233|player_stats.php|&pos=points&name=Mat--j Kotrba&id_player=32733017&s=34||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:25:09 11.02.2013|65.55.24.233|player_stats.php|&pos=points&name=Martti Toivanen&id_player=32512403&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:24:37 11.02.2013|65.55.24.233|player_stats.php|&pos=points&name=Martin --urda&id_player=29418519&s=34||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:24:03 11.02.2013|65.55.24.233|player_stats.php|&pos=points&name=Mario Lemieux&id_player=25541049&s=34||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:23:35 11.02.2013|65.55.24.233|player_stats.php|&pos=points&name=Mario Bourque&id_player=28310242&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:23:04 11.02.2013|65.55.24.233|player_stats.php|&pos=points&name=Mari--n Havran&id_player=27140657&s=34||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:22:41 11.02.2013|65.55.24.233|player_stats.php|&pos=points&name=Marek Michl--k&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:22:40 11.02.2013|65.55.24.233|player_stats.php|&pos=points&name=Marek Lipt--k&id_player=29219786&s=34||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:22:37 11.02.2013|157.55.33.47|stats.php|&s=34&pos=defs&type=reg&team=van&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:22:37 11.02.2013|157.55.32.189|player_stats.php|&pos=points&name=Mat--j Klein&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:22:36 11.02.2013|65.55.52.119|stats.php|&s=34&pos=defs&type=reg&team=tor&sort=pim&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:22:36 11.02.2013|157.55.32.189|player_stats.php|&pos=points&name=Mat--ss --agars&id_player=22708081&s=34||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
