06:00:36 12.02.2013|157.55.32.185|player_stats.php|&pos=points&name=Izidor Guni--&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:00:34 12.02.2013|66.249.78.197|player_stats.php|&pos=points&name=Felix Herbst&id_player=19212548&s=29||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
06:00:09 12.02.2013|157.56.229.186|player_stats.php|&pos=goalies&name=Matej Hriadel&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:00:04 12.02.2013|157.55.32.189|stats.php|&s=22&pos=points&type=po&team=bos&sort=pim&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:59:41 12.02.2013|157.55.32.189|stats.php|&s=04&pos=points&type=po&team=bos&sort=shg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:59:37 12.02.2013|157.56.229.186|player_stats.php|&pos=goalies&name=Luk---- --erve----k&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:59:17 12.02.2013|66.249.78.217|player_stats.php|&pos=points&name=Martin Nov----ek&id_player=16213283&s=29||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
05:59:15 12.02.2013|66.249.78.211|player_stats.php|&pos=points&name=Jan B--ezina&id_player=11824605&s=29||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
05:59:09 12.02.2013|66.249.78.184|player_stats.php|&pos=points&name=Gerhard Petzold&id_player=17240013&s=29||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
05:59:06 12.02.2013|157.55.32.190|schedule.php|&s=33&type=reg&team=was||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:59:06 12.02.2013|157.55.32.113|player_stats.php|&pos=goalies&name=Eugen Chytr--&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:59:00 12.02.2013|66.249.78.168|player_stats.php|&pos=points&name=Zlatko Mag--l&id_player=27989279&s=29||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
05:58:59 12.02.2013|66.249.75.50|manager_stats.php|&manager=sllaby||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
05:58:36 12.02.2013|157.55.32.185|player_stats.php|&pos=points&name=Isaac Hansson&id_player=7738439&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:58:36 12.02.2013|157.56.229.186|player_stats.php|&pos=goalies&name=Kristoffer Strandberg&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
