14:26:49 12.02.2013|66.249.75.42|stats.php|&s=03&pos=goalies&type=po&team=nyr&sort=gaa&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:26:41 12.02.2013|157.55.32.190|player_stats.php|&pos=points&name=Tersinio T--n--sescu&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:26:38 12.02.2013|66.249.75.45|stats.php|&s=31&pos=goalies&type=po&team=nyi&sort=gms&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:25:57 12.02.2013|157.55.32.113|stats.php|&s=13&pos=goalies&type=reg&team=col&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:25:39 12.02.2013|157.55.32.189|stats.php|&s=13&pos=goalies&type=reg&team=car&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:24:58 12.02.2013|157.55.32.189|stats.php|&s=13&pos=goalies&type=reg&team=car&sort=shotout&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:24:34 12.02.2013|157.55.32.189|stats.php|&s=13&pos=goalies&type=reg&team=buf&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:24:01 12.02.2013|157.55.32.113|stats.php|&s=13&pos=goalies&type=reg&team=buf&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:23:32 12.02.2013|157.55.32.113|stats.php|&s=13&pos=defs&type=reg&team=was&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:23:17 12.02.2013|66.249.75.30|stats.php|&s=27&pos=points&type=reg&team=ott&sort=&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:23:17 12.02.2013|66.249.78.184|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:23:12 12.02.2013|66.249.78.166|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:23:12 12.02.2013|66.249.78.18|teams_compare.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:23:09 12.02.2013|66.249.78.201|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:23:07 12.02.2013|66.249.75.197|stats.php|&s=12&pos=points&type=po&team=ana&sort=points&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
