15:04:29 12.02.2013|66.249.75.218|stats.php|&s=21&pos=points&type=reg&team=cbj&sort=&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
15:04:18 12.02.2013|66.249.78.205|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
15:04:16 12.02.2013|66.249.78.215|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
15:04:16 12.02.2013|66.249.75.166|stats.php|&s=15&pos=points&type=reg&team=cbj&sort=ppg&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
15:04:03 12.02.2013|157.55.32.189|stats.php|&s=31&pos=defs&type=reg&team=det&sort=goals&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
15:03:31 12.02.2013|157.55.32.190|stats.php|&s=11&pos=goalies&type=reg&team=van&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
15:02:59 12.02.2013|157.55.32.113|stats.php|&s=30&pos=points&type=reg&team=mtl&sort=ppg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
15:02:31 12.02.2013|157.55.32.185|player_stats.php|&pos=points&name=Ray Ord&id_player=32516061&s=34||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
15:02:28 12.02.2013|157.55.32.190|stats.php|&s=34&pos=goalies&type=reg&team=bos&sort=gaa&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
15:02:04 12.02.2013|157.55.32.190|stats.php|&s=34&pos=goalies&type=po&team=edm&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
15:01:37 12.02.2013|157.55.32.185|player_stats.php|&pos=points&name=Ray Bourque&id_player=32660040&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
15:01:29 12.02.2013|157.55.32.190|stats.php|&s=34&pos=defs&type=reg&team=bos&sort=plus&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
