05:15:49 13.02.2013|66.249.78.195|player_stats.php|&pos=points&name=Peter Hlebanja&id_player=&s=alltime||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
05:12:35 13.02.2013|66.249.78.193|player_stats.php|&pos=points&name=Willy Kleist&id_player=18198607&s=30||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
05:12:23 13.02.2013|66.249.76.191|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
04:57:55 13.02.2013|157.55.33.47|stats.php|&s=02&pos=goalies&type=reg&team=wpg&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:57:25 13.02.2013|157.55.33.47|stats.php|&s=02&pos=goalies&type=po&team=pit&sort=shotout&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:56:56 13.02.2013|157.55.35.82|player_stats.php|&pos=points&name=Lambert Lorenc&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:56:26 13.02.2013|157.55.32.189|player_stats.php|&pos=points&name=Kenneth Pine&id_player=17860724&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:55:55 13.02.2013|157.55.33.47|stats.php|&s=02&pos=goalies&type=po&team=col&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:55:26 13.02.2013|157.55.32.189|player_stats.php|&pos=points&name=Keijo Vuorinen&id_player=10338477&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:54:55 13.02.2013|157.55.33.47|stats.php|&s=02&pos=goalies&type=po&team=col&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:54:25 13.02.2013|157.55.33.47|stats.php|&s=02&pos=goalies&type=po&team=chi&sort=gaa&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:53:56 13.02.2013|157.55.33.47|standings.php|&s=33||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:53:26 13.02.2013|157.55.32.189|player_stats.php|&pos=points&name=Kaspars Leji----&id_player=17285576&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:52:56 13.02.2013|157.55.33.47|standings.php|&s=22||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:52:26 13.02.2013|157.55.33.47|standings.php|&s=07||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:51:56 13.02.2013|157.56.93.201|player_stats.php|&pos=points&name=Mar--ers Traumans&id_player=6569224&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:51:27 13.02.2013|157.55.35.82|player_stats.php|&pos=points&name=Kristi--n Lavrinc&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:49:55 13.02.2013|157.55.32.61|stats.php|&s=02&pos=points&type=po&team=wpg&sort=asists&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:49:38 13.02.2013|66.249.76.50|news.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
04:49:25 13.02.2013|157.55.32.61|stats.php|&s=02&pos=goalies&type=reg&team=det&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:48:56 13.02.2013|157.56.93.201|player_stats.php|&pos=points&name=Makar Sokolov&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:48:26 13.02.2013|157.56.93.201|player_stats.php|&pos=points&name=Luke Fenton&id_player=24543869&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:47:55 13.02.2013|157.55.32.61|stats.php|&s=02&pos=goalies&type=reg&team=col&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:47:25 13.02.2013|157.55.32.61|stats.php|&s=02&pos=goalies&type=reg&team=cbj&sort=mins&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
