09:40:45 13.02.2013|157.55.32.190|player_stats.php|&pos=points&name=Pascal Dupuis&id_player=26376702&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
09:40:00 13.02.2013|157.55.32.190|stats.php|&s=34&pos=points&type=reg&team=nyi&sort=plus&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
09:39:27 13.02.2013|157.55.32.190|stats.php|&s=34&pos=points&type=reg&team=njd&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
09:38:57 13.02.2013|157.55.32.190|stats.php|&s=34&pos=points&type=reg&team=njd&sort=plus&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
09:38:28 13.02.2013|157.55.32.113|stats.php|&s=34&pos=points&type=reg&team=stl&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
09:37:58 13.02.2013|157.55.32.190|stats.php|&s=34&pos=points&type=reg&team=nas&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
09:37:26 13.02.2013|157.55.32.189|stats.php|&s=34&pos=points&type=reg&team=dal&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
09:36:56 13.02.2013|157.55.32.113|stats.php|&s=34&pos=points&type=reg&team=stl&sort=pim&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
09:36:35 13.02.2013|157.55.32.113|stats.php|&s=34&pos=points&type=reg&team=njd&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
09:36:00 13.02.2013|157.55.32.190|stats.php|&s=34&pos=points&type=reg&team=nas&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
09:35:47 13.02.2013|157.55.32.58|stats.php|&s=34&pos=points&type=reg&team=nas&sort=plus&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
09:35:01 13.02.2013|157.56.93.201|stats.php|&s=34&pos=points&type=po&team=sjs&sort=ppg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
09:34:28 13.02.2013|157.55.32.190|stats.php|&s=34&pos=points&type=po&team=sjs&sort=shg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
09:33:57 13.02.2013|157.55.32.113|stats.php|&s=34&pos=points&type=po&team=wpg&sort=asists&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
09:33:26 13.02.2013|157.55.32.189|stats.php|&s=34&pos=points&type=po&team=wpg&sort=shg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
09:33:03 13.02.2013|157.55.32.189|stats.php|&s=34&pos=points&type=po&team=wpg&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
09:31:19 13.02.2013|178.154.165.251|manager_stats.php|&manager=spyder||Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)| - 
09:31:14 13.02.2013|178.154.165.251|schedule.php|&s=11&type=reg&team=col||Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)| - 
09:30:34 13.02.2013|66.249.76.218|player_stats_old.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
