13:30:36 13.02.2013|157.55.32.149|player_stats.php|&pos=points&name=Raleigh Pinson&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:30:06 13.02.2013|157.55.32.149|player_stats.php|&pos=points&name=Radoslav Godor&id_player=21762292&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:29:56 13.02.2013|66.249.76.21|magazine.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)|fla - 
13:29:43 13.02.2013|157.55.32.149|player_stats.php|&pos=points&name=Aivars Asaris&id_player=26495024&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:29:22 13.02.2013|157.55.35.82|stats.php|&s=11&pos=points&type=reg&team=van&sort=asists&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:28:40 13.02.2013|157.55.32.61|player_stats.php|&pos=points&name=Aku Turkia&id_player=29547602&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:28:05 13.02.2013|157.55.35.82|stats.php|&s=11&pos=points&type=reg&team=cbj&sort=shg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:27:41 13.02.2013|157.55.35.82|stats.php|&s=11&pos=points&type=reg&team=cbj&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:27:14 13.02.2013|157.55.32.185|player_stats.php|&pos=points&name=Roland Galko&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:26:40 13.02.2013|157.56.93.201|player_stats.php|&pos=points&name=Rastislav Jankul--r&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:26:09 13.02.2013|66.249.78.211|player_stats_old.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
13:26:07 13.02.2013|157.55.35.82|stats.php|&s=11&pos=points&type=reg&team=cbj&sort=asists&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:25:38 13.02.2013|157.55.35.82|stats.php|&s=11&pos=points&type=reg&team=car&sort=plus&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:25:12 13.02.2013|157.55.33.123|player_stats.php|&pos=points&name=Adolf Lopuchovsk--&id_player=15390957&s=34||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:24:37 13.02.2013|157.55.35.82|stats.php|&s=11&pos=points&type=reg&team=car&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:24:13 13.02.2013|66.249.78.181|player_stats.php|&pos=points&name=Jan Trengereid&id_player=&s=alltime||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
13:24:10 13.02.2013|157.56.93.201|player_stats.php|&pos=points&name=Radoslav Majer&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:23:39 13.02.2013|157.56.93.201|player_stats.php|&pos=points&name=Radek Dokoupil&id_player=9114784&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:23:17 13.02.2013|157.55.35.82|player_stats.php|&pos=points&name=Serv--c Rajnoha&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:22:36 13.02.2013|157.55.35.82|player_stats.php|&pos=points&name=Sergej Rupnik&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:22:09 13.02.2013|157.56.93.201|player_stats.php|&pos=points&name=R--bert Ben----k&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:21:37 13.02.2013|157.55.35.82|player_stats.php|&pos=points&name=Rudolf Vokoun&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:21:15 13.02.2013|157.55.35.82|player_stats.php|&pos=points&name=Rod Cowan&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:20:39 13.02.2013|157.55.35.82|player_stats.php|&pos=points&name=Robert Srb&id_player=29549968&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:20:12 13.02.2013|157.55.32.185|player_stats.php|&pos=points&name=Rijat H--gger&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:19:35 13.02.2013|157.55.35.82|player_stats.php|&pos=points&name=Robert Grainger&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
