ana|66503880|75249|13|8736900|10623|2|
atl|24701347|38613|7|30295570|34480|8|
bos|1962480|3774|1|38825708|56881|12|
buf|7176000|13717|3|40255756|51677|10|
cgy|5322900|9150|3|27243740|41554|10|
car|44851800|64074|12|40272542|39550|7|
chi|35628000|47504|9|27623450|35015|6|
col|110687800|106249|19|11946642|11404|2|
cbj|7446100|11648|3|33813740|47524|10|
dal|5464000|13660|4|29031275|39457|9|
det|36414500|47555|10|21338450|24882|5|
edm|3576000|4470|3|36676501|51111|10|
fla|92798129|79997|16|4956952|4004|1|
lak|5194800|9990|2|39978416|55807|11|
min|1926600|4940|2|35736892|41835|11|
mtl|4557735|10017|2|37373957|48773|11|
nas|20624560|28416|7|21470115|25253|6|
njd|61203316|57393|14|40702994|43003|7|
ott|66570094|75923|12|16301595|20100|4|
phi|29324046|44061|9|23804160|27900|6|
phx|65055491|68040|13|16916610|21967|4|
pit|7784200|18332|5|23893240|32856|8|
nyi|49610040|64971|11|20106630|22370|4|
nyr|7452770|13503|4|27187032|36988|9|
sjs|14439730|18082|4|55240304|58812|12|
stl|27555240|37860|7|54475353|63929|12|
tbl|20714089|23773|6|31024732|35978|7|
tor|12635630|25787|6|42920625|44610|9|
van|20582932|26264|7|37501721|41476|8|
was|32811100|45039|10|14923707|18232|3|

