ana|38|2|445|265|180|14.61|89.81|2.08|58.02|16|8|4|0|21|81|25.93|6|47|87.23
atl|-3|0|369|338|31|10.57|87.57|3.23|53.19|1|7|1|0|7|52|13.46|20|78|74.36
bos|8|3|368|388|-20|11.41|91.24|2.62|54.64|6|3|1|1|6|59|10.17|6|46|86.96
buf|-15|2|335|394|-59|6.27|90.86|2.77|34.46|4|4|0|0|5|74|6.76|7|40|82.5
cgy|41|3|455|294|161|13.63|92.86|1.62|53.28|28|14|1|0|23|76|30.26|5|38|86.84
car|-32|0|301|449|-148|6.31|88.644|3.92|46.85|5|4|0|2|3|64|4.69|9|54|83.33
chi|-4|1|340|404|-64|11.47|89.36|3.31|51.22|12|5|2|1|9|58|15.52|12|65|81.54
col|11|2|353|354|-1|10.48|92.66|2|46.02|7|12|0|1|10|76|13.16|7|49|85.71
cbj|-25|0|290|475|-185|9.31|89.05|4|45.79|5|6|1|2|14|65|21.54|6|46|86.96
dal|44|2|510|246|264|13.73|89.43|2|60.89|23|13|3|3|13|68|19.12|9|65|86.15
det|12|2|429|302|127|10.49|89.07|2.54|56.26|10|3|2|1|8|54|15|15|77|80.52
edm|32|4|423|251|172|12.53|91.63|1.62|54.19|11|10|1|3|15|57|26.32|4|51|92.16
fla|42|2|453|243|210|13.25|92.59|1.39|56.75|10|5|2|0|15|64|23.44|8|69|88.41
lak|9|2|367|353|14|15.8|86.12|3.77|50.91|14|6|1|2|18|54|33.33|13|56|76.79
min|-21|1|345|364|-19|8.99|85.71|4|51.56|8|4|1|1|5|46|10.87|14|76|81.58
mtl|-24|0|371|412|-41|8.36|86.65|4.23|51.79|3|4|1|2|11|65|16.92|9|66|86.36
nas|61|7|532|220|312|13.16|95.91|0.69|60.09|16|6|0|0|17|49|34.69|6|62|90.32
njd|-52|1|288|450|-162|7.29|83.78|5.62|41.24|1|5|0|4|8|57|14.04|20|72|72.22
ott|-25|0|250|488|-238|9.6|89.96|3.77|37.26|9|8|1|2|3|64|4.69|11|50|78
phi|11|2|373|321|42|10.72|91.24|2.23|50.78|13|5|2|0|11|57|19.3|8|64|87.5
phx|5|3|343|400|-57|9.91|92.75|2.23|51.74|8|7|0|0|11|59|18.64|8|60|86.67
pit|-109|0|142|605|-463|0.7|81.82|8.46|21.5|0|0|0|5|1|54|1.85|19|59|67.8
nyi|5|4|381|367|14|9.19|91.83|2.31|53.03|5|8|2|1|6|46|13.04|10|61|83.61
nyr|-14|3|328|370|-42|8.23|88.92|3.15|55.59|5|5|3|3|1|50|2|11|74|85.14
sjs|-2|3|264|434|-170|11.74|92.4|2.54|54.14|3|6|2|0|12|58|20.69|10|75|86.67
stl|39|5|478|240|238|10.46|95.42|0.85|60.44|5|8|1|0|10|61|16.39|6|56|89.29
tbl|-15|0|318|403|-85|6.92|90.82|2.85|47.92|9|2|1|1|7|51|13.73|7|72|90.28
tor|-7|2|348|392|-44|10.34|89.03|3.31|38.12|6|5|2|0|7|70|10|9|62|85.48
van|9|2|389|330|59|11.31|89.39|2.69|58.27|8|3|1|0|9|55|16.36|7|50|86
was|-19|1|330|361|-31|8.49|86.98|3.62|47.72|3|0|1|1|7|52|13.46|11|56|80.36
