ana|40|4|481|293|188|13.93|90.78|2.08|57.60|20|5|0|2|25|91|27.47|11|46|76.09|-------------|67|27|398|691|13|
atl|-15|1|298|443|-145|10.07|89.84|3.46|49.93|2|6|2|0|6|46|13.04|8|67|88.06|-------------|30|45|355|711|13|
bos|-10|0|275|470|-195|11.64|91.06|3.23|44.06|13|5|1|0|8|61|13.11|10|66|84.85|-------------|32|42|319|724|13|
buf|17|4|440|282|158|10.45|89.72|2.23|55.13|12|4|2|0|9|66|13.64|9|65|86.15|-------------|46|29|419|760|13|
cgy|3|2|382|332|50|9.69|89.76|2.62|60.35|6|6|2|0|10|64|15.63|12|52|76.92|-------------|37|34|417|691|13|
car|24|4|443|300|143|11.96|90.33|2.23|54.21|5|12|0|1|15|67|22.39|7|55|87.27|-------------|53|29|335|618|13|
chi|-53|1|211|593|-382|6.64|88.70|5.15|37.05|3|1|0|5|4|60|6.67|13|53|75.47|-------------|14|67|266|718|13|
col|45|5|484|245|239|12.81|93.06|1.31|54.66|13|2|1|0|20|79|25.32|9|48|81.25|-------------|62|17|375|686|13|
cbj|36|2|468|309|159|12.61|92.56|1.77|57.98|14|8|3|1|14|62|22.58|3|55|94.55|-------------|59|23|356|614|13|
dal|-51|0|257|478|-221|6.61|85.77|5.23|37.97|3|6|3|0|4|36|11.11|18|81|77.78|-------------|17|68|281|740|13|
det|9|2|427|293|134|8.67|90.44|2.15|54.91|12|3|1|1|8|51|15.69|8|54|85.19|-------------|37|28|369|672|13|
edm|5|1|486|312|174|8.02|89.10|2.62|56.97|4|5|0|5|10|67|14.93|10|54|81.48|-------------|39|34|384|674|13|
fla|57|6|485|204|281|14.43|93.63|1.00|57.16|16|12|1|0|8|46|17.39|9|64|85.94|-------------|70|13|371|649|13|
lak|-12|1|321|397|-76|9.03|89.67|3.15|42.51|4|2|0|0|3|51|5.88|11|56|80.36|-------------|29|41|298|701|13|
min|-31|1|299|421|-122|7.36|87.41|4.08|42.04|7|7|3|1|5|45|11.11|14|63|77.78|-------------|22|53|285|678|13|
mtl|4|1|379|331|48|7.92|92.15|2.00|52.72|4|5|0|4|7|84|8.33|7|53|86.79|-------------|30|26|368|698|13|
nas|-4|1|317|422|-105|9.78|91.71|2.69|47.85|10|9|4|1|8|63|12.70|7|64|89.06|-------------|31|35|323|675|13|
njd|33|4|407|332|75|14.50|92.17|2.00|53.03|15|4|0|0|24|76|31.58|4|47|91.49|-------------|59|26|350|660|13|
ott|32|2|306|376|-70|19.28|92.82|2.08|47.85|25|7|3|0|15|54|27.78|6|87|93.10|-------------|59|27|322|673|13|
phi|-62|0|268|483|-215|5.60|84.06|5.92|41.68|0|1|0|6|5|81|6.17|13|53|75.47|-------------|15|77|283|679|13|
phx|-14|1|270|441|-171|11.48|89.80|3.46|43.26|7|3|0|0|10|58|17.24|8|61|86.89|-------------|31|45|292|675|13|
pit|-60|0|248|465|-217|6.45|83.66|5.85|42.40|1|2|3|4|5|48|10.42|23|84|72.62|-------------|16|76|304|717|13|
nyi|25|2|448|295|153|11.83|90.51|2.15|58.87|14|7|3|1|14|56|25.00|7|64|89.06|-------------|53|28|428|727|13|
nyr|-55|0|309|431|-122|5.18|83.53|5.46|44.07|3|3|1|1|5|37|13.51|16|75|78.67|-------------|16|71|327|742|13|
sjs|-21|2|317|421|-104|9.15|88.12|3.85|48.16|9|5|1|0|5|52|9.62|15|68|77.94|-------------|29|50|354|735|13|
stl|33|5|462|235|227|9.74|94.89|0.92|58.11|4|9|2|1|12|59|20.34|3|61|95.08|-------------|45|12|437|752|13|
tbl|21|5|446|296|150|10.54|91.22|2.00|54.53|10|6|0|1|10|68|14.71|13|63|79.37|-------------|47|26|385|706|13|
tor|15|2|355|347|8|13.52|90.49|2.54|49.20|10|9|1|1|10|68|14.71|8|47|82.98|-------------|48|33|338|687|13|
van|32|0|448|291|157|13.39|90.38|2.15|55.86|8|11|4|2|17|75|22.67|8|57|85.96|-------------|60|28|372|666|13|
was|-43|0|271|470|-199|10.33|84.89|5.46|41.99|9|6|1|4|6|53|11.32|12|61|80.33|-------------|28|71|270|643|13|

