ana|20|2|359|298|61|13.65|90.27|2.42|51.06|0|4|2|2|14|72|19.44|7|41|82.93|-------------|49|29|314|615|12|pacific|
wpg|-120|0|178|560|-382|5.62|76.79|10.00|28.45|0|3|2|4|1|34|2.94|24|88|72.73|-------------|10|130|202|710|13|southeast|
bos|82|6|463|246|217|20.52|94.72|1.00|62.36|0|9|5|1|16|68|23.53|2|57|96.49|-------------|95|13|449|720|13|northeast|
buf|31|3|462|303|159|14.72|87.79|2.85|56.19|0|10|4|2|16|62|25.81|6|53|88.68|-------------|68|37|386|687|13|northeast|
cgy|78|8|575|183|392|16.52|90.71|1.31|57.65|0|14|7|0|17|88|19.32|6|58|89.66|-------------|95|17|407|706|13|northwest|
car|54|6|505|200|305|13.86|92.00|1.23|56.01|0|4|3|0|9|47|19.15|2|42|95.24|-------------|70|16|387|691|13|southeast|
chi|-2|0|393|313|80|12.21|84.03|3.85|50.46|0|11|3|0|6|34|17.65|13|74|82.43|-------------|48|50|328|650|13|central|
col|35|3|423|311|112|16.08|89.39|2.54|55.88|0|11|1|2|18|71|25.35|11|53|79.25|-------------|68|33|385|689|13|northwest|
cbj|4|4|389|244|145|10.54|84.84|3.08|56.12|0|3|3|0|9|53|16.98|12|63|80.95|-------------|41|37|362|645|12|central|
dal|-27|2|321|388|-67|6.23|87.89|3.62|40.17|0|3|2|3|6|52|11.54|8|46|82.61|-------------|20|47|243|605|13|pacific|
det|-80|0|151|554|-403|4.64|84.30|7.25|34.93|0|1|1|11|3|68|4.41|11|59|81.36|-------------|7|87|190|544|12|central|
edm|-27|1|273|343|-70|8.42|85.42|4.55|45.16|0|2|1|2|8|59|13.56|6|43|86.05|-------------|23|50|247|547|11|northwest|
fla|-89|0|115|628|-513|8.70|84.24|7.62|40.74|0|2|1|4|0|41|0.00|27|85|68.24|-------------|10|99|275|675|13|southeast|
lak|63|4|453|263|190|18.98|91.25|1.77|56.03|0|12|4|0|35|80|43.75|3|45|93.33|-------------|86|23|381|680|13|pacific|
min|-50|0|265|411|-146|8.30|82.48|6.00|47.60|0|5|0|5|6|59|10.17|19|65|70.77|-------------|22|72|298|626|12|northwest|
mtl|10|3|388|302|86|11.08|89.07|2.54|50.94|0|7|2|1|7|46|15.22|11|56|80.36|-------------|43|33|354|695|13|northeast|
nas|1|3|341|364|-23|9.68|91.21|2.67|54.97|0|7|2|3|8|50|16.00|9|62|85.48|-------------|33|32|332|604|12|central|
njd|-38|1|294|434|-140|7.82|85.94|4.69|47.31|0|2|0|1|5|64|7.81|17|56|69.64|-------------|23|61|334|706|13|atlantic|
ott|57|1|474|252|222|16.88|90.87|1.77|55.45|0|10|0|5|15|68|22.06|5|46|89.13|-------------|80|23|366|660|13|northeast|
phi|-100|0|129|621|-492|5.43|82.77|8.23|28.44|0|1|1|1|0|51|0.00|24|75|68.00|-------------|7|107|192|675|13|atlantic|
phx|-1|2|335|271|64|9.25|88.19|2.91|50.27|0|3|2|2|5|49|10.20|9|46|80.43|-------------|31|32|283|563|11|pacific|
pit|-34|1|252|494|-242|7.14|89.47|4.00|47.65|0|2|2|2|5|49|10.20|16|85|81.18|-------------|18|52|334|701|13|atlantic|
nyi|25|2|425|314|111|14.35|88.54|3.00|48.14|0|9|1|2|17|46|36.96|12|69|82.61|-------------|61|36|259|538|12|atlantic|
nyr|104|6|606|178|428|19.80|91.01|1.23|60.97|0|12|5|1|20|66|30.30|3|52|94.23|-------------|120|16|442|725|13|atlantic|
sjs|-85|1|177|534|-357|3.95|82.77|7.08|33.90|0|1|0|7|0|45|0.00|20|77|74.03|-------------|7|92|219|646|13|pacific|
stl|72|4|496|223|273|19.15|89.69|1.77|61.69|0|13|4|1|25|73|34.25|10|57|82.46|-------------|95|23|446|723|13|central|
tbl|26|3|437|297|140|13.27|89.23|2.46|54.60|0|5|5|0|19|67|28.36|7|54|87.04|-------------|58|32|392|718|13|southeast|
tor|-94|2|146|551|-405|6.85|81.13|8.00|45.03|0|0|0|7|0|56|0.00|11|60|81.67|-------------|10|104|317|704|13|northeast|
van|27|2|383|337|46|16.45|89.32|2.77|59.17|0|1|3|0|14|55|25.45|10|41|75.61|-------------|63|36|400|676|13|northwest|
was|58|4|461|252|209|17.79|90.48|1.85|56.01|0|7|4|1|21|73|28.77|4|38|89.47|-------------|82|24|354|632|13|southeast|

