Ottawa Senators©=GOAL|Toronto Maple Leafs=G_ALLOWED|Protiútoky gól po obstojnej nahrávke - --Jakub Štěpán - 1:0 !!--(Zianon  Kaviarnia, Radek Bednařík)
Toronto Maple Leafs=PIM|Ottawa Senators©=POWERPLAY|vylúčenie hráča - Aidan Cooey4 proti 5
Toronto Maple Leafs=GOAL|Ottawa Senators©=G_ALLOWED|gól po výbornej nahrávke - --Uffe Knudsen - 1:1 !!--(Viktors Pakalniņš)
Ottawa Senators©=PIM|Toronto Maple Leafs=POWERPLAY|vylúčenie hráča - Radek Bednařík4 proti 5
Ottawa Senators©=PIM|Toronto Maple Leafs=POWERPLAY|vylúčenie hráča - Albín Gmiterko4 proti 5
Buffalo Sabres=PIM|Boston Bruins ®=POWERPLAY|vylúčenie hráča - Matěj Koukal4 proti 5
Boston Bruins ®=GOAL|Buffalo Sabres=G_ALLOWED|--Yrjö Schwartz - 1:0 !!--PP!! --(Birk Helleren, Mārtiņš Heinsons)
Boston Bruins ®=PIM|Buffalo Sabres=POWERPLAY|vylúčenie hráča - Shane Hessenthaler4 proti 5
Boston Bruins ®=GOAL|Buffalo Sabres=G_ALLOWED|gól po geniálnej nahrávke - --Fedor Šimkáč - 2:0 !!--(Marek Kurka)
Buffalo Sabres=PIM|Boston Bruins ®=POWERPLAY|vylúčenie hráča - Jarosław Osada4 proti 5
Boston Bruins ®=GOAL|Buffalo Sabres=G_ALLOWED|--Yrjö Schwartz - 3:0 !!--PP!! --(Birk Helleren, Shane Hessenthaler)
Buffalo Sabres=PIM|Boston Bruins ®=POWERPLAY|vylúčenie hráča - Matěj Ondráček4 proti 5
Buffalo Sabres=PIM|Boston Bruins ®=POWERPLAY|vylúčenie hráča - Jarosław Osada3 proti 5
Boston Bruins ®=PIM|Buffalo Sabres=POWERPLAY|vylúčenie hráča - Fedot Avdonov4 proti 5
